0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 2, 4, 5, 3, 1, 1, 1, 3, 5, 4, 2, 0
0, 0, 2, 4, 5, 3, 1, 3, 5, 4, 2, 0, 0
6, 0, 0, 2, 4, 5, 3, 5, 4, 2, 0, 0, 6
6, 6, 0, 0, 2, 4, 5, 4, 2, 0, 0, 6, 6
6, 6, 6, 0, 0, 2, 4, 2, 0, 0, 6, 6, 6
0, 0, 6, 6, 0, 0, 2, 0, 0, 6, 6, 0, 0
0, 0, 0, 6, 6, 0, 0, 0, 6, 6, 0, 0, 0
0, 0, 0, 0, 6, 6, 0, 6, 6, 0, 0, 0, 0
0, 0, 6, 0, 0, 6, 6, 6, 0, 0, 6, 0, 0
0, 0, 0, 6, 0, 0, 6, 0, 0, 6, 0, 0, 0
0, 0, 0, 0, 6, 0, 0, 0, 6, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
