0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 4, 5, 3, 1, 6, 1, 3, 5, 4, 0, 0
0, 0, 4, 5, 3, 1, 6, 1, 3, 5, 4, 0, 0
0, 0, 4, 5, 3, 1, 6, 1, 3, 5, 4, 0, 0
0, 0, 4, 5, 3, 1, 6, 1, 3, 5, 4, 0, 0
7, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 7
0, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 0
0, 0, 4, 5, 3, 1, 6, 1, 3, 5, 4, 0, 0
0, 0, 4, 5, 3, 1, 6, 1, 3, 5, 4, 0, 0
0, 0, 4, 5, 3, 1, 6, 1, 3, 5, 4, 0, 0
0, 0, 4, 5, 3, 1, 6, 1, 3, 5, 4, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0
0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
